Lemma,POS,P4 Occurrences,P5 Occurrences
木,Noun,21,10
手掛かり,Noun,21,20
中々,Adverb,21,65
原因,Noun,21,27
時々,Noun,21,11
確り,Adverb,21,56
映像,Noun,21,3
平和,Noun,21,11
仄か,な-Adjective,21,0
幾ら,Adverb,21,29
歩く,Verb,21,22
下る,Verb,21,14
追う,Verb,21,39
一生,Noun,21,20
ゆっくり,Adverb,21,22
止まる,Verb,21,28
員,Suffix,21,32
汗,Noun,21,9
受け入れる,Verb,21,10
粉,Noun,21,3
信頼,Noun,21,25
救済,Noun,21,2
試合,Noun,21,8
苦笑い,Noun,21,0
近い,い-Adjective,20,54
運命,Noun,20,37
参る,Verb,20,26
扠,Conjunction,20,54
娘,Noun,20,20
迎える,Verb,20,22
氏,Suffix,20,46
求める,Verb,20,26
地元,Noun,20,6
あい,Interjection,20,2
触れる,Verb,20,17
簡単,な-Adjective,20,58
引っ掛かる,Verb,20,8
不明,Noun,20,29
現場,Noun,20,12
むかつく,Verb,20,49
合う,Verb,20,41
夫,Noun,20,1
何の,Adnominal,20,51
重い,い-Adjective,20,12
今夜,Noun,20,20
行動,Noun,20,95
隠す,Verb,20,35
だらけ,Suffix,20,17
失踪,Noun,20,0
チェック-check,Noun,20,18
救出,Noun,20,2
匂い,Noun,20,17
水着,Noun,20,18
恐らく,Adverb,20,40
胸,Noun,20,17
足りる,Verb,20,78
懸命,な-Adjective,20,1
委員,Noun,20,7
活動,Noun,20,34
涙,Noun,20,16
部員,Noun,20,1
同士,Suffix,19,16
発表,Noun,19,24
糞,Noun,19,30
正しい,い-Adjective,19,26
合わせる,Verb,19,25
ふう,Interjection,19,18
抑,Noun,19,26
事情,Noun,19,32
増える,Verb,19,56
影響,Noun,19,45
起こる,Verb,19,25
証拠,Noun,19,37
確認,Noun,19,84
本物,Noun,19,38
丸で,Adverb,19,25
振る,Verb,19,12
命,Noun,19,72
着る,Verb,19,23
芽生え,Noun,19,0
鼻,Noun,19,12
向く,Verb,19,12
疑う,Verb,19,26
むむ,Interjection,19,21
赤い,い-Adjective,19,12
流す,Verb,19,17
得意,Noun,19,9
嫌う,Verb,19,22
近付く,Verb,19,41
保健,Noun,19,4
ユー-you,Noun,19,0
英語,Noun,19,6
アルバイト-Arbeit,Noun,19,22
父親,Noun,19,7
未来,Noun,18,37
成る程,Adverb,18,75
写真,Noun,18,29
左,Noun,18,5
飯,Noun,18,17
村,Noun,18,3
隣り,Noun,18,8
悩む,Verb,18,40
有名,な-Adjective,18,49
状態,Noun,18,72
いや,Interjection,18,20
店員,Noun,18,10
元々,Adverb,18,8
喋る,Verb,18,20
注意,Noun,18,67
大好き,な-Adjective,18,6
突き込む,Verb,18,17
死,Noun,18,46
明るい,い-Adjective,18,6
勝つ,Verb,18,99
ユキ,Noun,18,0
予報,Noun,18,2
重要,な-Adjective,18,29
想像,Noun,18,20
参加,Noun,18,29
プレゼント-present,Noun,18,13
正解,Noun,18,21
潰す,Verb,18,30
抜ける,Verb,18,44
張り切る,Verb,18,3
すっきり,Adverb,18,19
目的,Noun,18,57
ファン-fan（熱狂者）,Noun,18,30
届く,Verb,18,37
無くす,Verb,18,12
パーティー-party,Noun,18,11
報告,Noun,18,77
マツナガ,Noun,18,0
大学,Noun,18,9
溜め息,Noun,18,1
吹奏,Noun,18,0
挨拶,Noun,17,42
びっくり,Noun,17,16
夜中,Noun,17,6
立派,な-Adjective,17,17
怪我,Noun,17,12
ココ-coco,Noun,17,7
やれ,Interjection,17,16
阿呆,Noun,17,16
一方,Noun,17,33
押す,Verb,17,73
サービス-service,Noun,17,33
際,Noun,17,30
